title,institution,published,year,cited,accred,Labeling
PENGARUH PENAMBAHAN SOYBEAN MEAL DAN MINERAL ORGANIK (Zn dan Cr) DALAM RANSUM TERHADAP KECERNAAN NDF DAN ADF PADA KAMBING RAMBON JANTAN,"Department of Animal Husbandry, Faculty of Agriculture, University of Lampung",Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of Animals) Vol 8 No 2 (2024): Jurnal Riset dan Inovasi Peternakan: Mei 2024218-224,2024,DOI: 10.23960/jrip.2024.8.2.218-224,Accred : Unknown,
"EFEKTIVITAS PEMBERIAN AMPAS TAHU DAN LIMBAH IKAN TERHADAP KADAR AIR, PROTEIN KASAR, DAN SERAT KASAR TEPUNG MAGGOT (Black Soldier Fly)","Department of Animal Husbandry, Faculty of Agriculture, University of Lampung",Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of Animals) Vol 8 No 2 (2024): Jurnal Riset dan Inovasi Peternakan: Mei 2024358-365,2024,DOI: 10.23960/jrip.2024.8.2.358-365,Accred : Unknown,
PENGARUH AMPAS TAHU DAN LIMBAH IKAN DENGAN PERSENTASE BERBEDA TERHADAP KADAR LEMAK KASAR DAN KADAR ABU MAGGOT BLACK SOLDIER FLY,"Department of Animal Husbandry, Faculty of Agriculture, University of Lampung",Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of Animals) Vol 8 No 2 (2024): Jurnal Riset dan Inovasi Peternakan: Mei 2024347-352,2024,DOI: 10.23960/jrip.2024.8.2.347-352,Accred : Unknown,
Analisis Penawaran dan Permintaan Pariwisata (Studi Kasus di Desa Wisata Tipang Kecamatan Baktiraja Sumatera Utara),"Department of Agribusiness, Halu Oleo University Jointly with Perhimpunan Ekonomi Pertanian Indonesia - Indonesian Society of Agricultural Economics (PERHEPI/ISAE)",Jurnal Ilmiah Membangun Desa dan Pertanian Vol. 9 No. 4 (2024)333 - 343,2024,DOI: 10.37149/jimdp.v9i4.1407,Accred : Sinta 3,
KEPUTUSAN PETANI KARET BERALIH KE USAHATANI SINGKONG DI KECAMATAN WAY SERDANG KABUPATEN MESUJI,Lampung University,"Jurnal Ilmu Ilmu Agribisnis: Journal of Agribusiness Science Vol 12, No 4 (2024)311-318",2024,DOI: 10.23960/jiia.v12i4.8684,Accred : Sinta 4,
Laju Pengisian Biji Tanaman Jagung (Zea mays L.) pada Sistem Tanam yang Berbeda,Universitas Lampung,"JURNAL AGROTROPIKA Vol 23, No 1 (2024): Jurnal Agrotropika Vol 23 No 1, Mei 2024154-176",2024,DOI: 10.23960/ja.v23i1.8784,Accred : Sinta 3,
"Sosialisasi Pembuatan Tas Ramah Lingkungan Ecoprint di Desa Mulyo Harjo, Kecamatan Bumi Agung, Kabupaten Way Kanan, Provinsi Lampung","Agriculture Faculty, Universitas Lampung","Jurnal Pengabdian Fakultas Pertanian Universitas Lampung Vol 3, No 1 (2024): Jurnal Pengabdian Fakultas Pertanian Universitas Lampung Vol 3 No 1, Maret 2024144-153",2024,DOI: 10.23960/jpfp.v3i1.8913,Accred : Unknown,
PERSEPSI MASYARAKAT SEKITAR LAHAN GAMBUT TENTANG SIMPANAN KARBON DAN PERUBAHAN IKLIM,Lambung Mangkurat University-Indonesia,"Jurnal Hutan Tropis Vol 12, No 1 (2024): Jurnal Hutan Tropis Volume 12 Nomer 1 Edisi Maret 2024114-124",2024,DOI: 10.20527/jht.v12i1.19031,Accred : Unknown,
"Perencanaan Peraturan Daerah (Raperda) Kota Lubuklinggau tentang Batas Ruang Milik Jalan, Ruang Manfaat Jalan dan Ruang Pengawasan Jalan pada Dinas Pekerjaan Umum dan Penataan Ruang Kota Lubuklinggau",Fakultas Teknik,Seminar Nasional Insinyur Profesional (SNIP) Vol. 4 No. 1 (2024): Prosiding SNIP Vol.4 No.1 Tahun 2024,2024,DOI: 10.23960/snip.v4i1.354,Accred : Unknown,
Inventarisasi Kondisi Jembatan Kab. Musi Rawas Utara,Fakultas Teknik,Seminar Nasional Insinyur Profesional (SNIP) Vol. 4 No. 1 (2024): Prosiding SNIP Vol.4 No.1 Tahun 2024,2024,DOI: 10.23960/snip.v4i1.549,Accred : Unknown,
"Kajian Program Bantuan Pembangunan Rumah Layak Huni (BAPERLAHU) sebagai Upaya Pengendalian Perumahan dan Permukiman Kumuh di Desa Wiralaga Mulya, Kecamatan Mesuji, Kabupaten Mesuji Tahun 2022",Fakultas Teknik,Seminar Nasional Insinyur Profesional (SNIP) Vol. 4 No. 1 (2024): Prosiding SNIP Vol.4 No.1 Tahun 2024,2024,DOI: 10.23960/snip.v4i1.550,Accred : Unknown,
Kajian Kebutuhan Luas Lahan Pengembangan Tempat Pemrosesan Akhir (TPA) Sampah Tipe Sanitary Landfill Lubuk Binjai Kota Lubuklinggau,Fakultas Teknik,Seminar Nasional Insinyur Profesional (SNIP) Vol. 4 No. 1 (2024): Prosiding SNIP Vol.4 No.1 Tahun 2024,2024,DOI: 10.23960/snip.v4i1.554,Accred : Unknown,
Desain Engineering Detail Peningkatan Jaringan Irigasi D.I. Air Kesie I Kota Lubuklinggau,Fakultas Teknik,Seminar Nasional Insinyur Profesional (SNIP) Vol. 4 No. 1 (2024): Prosiding SNIP Vol.4 No.1 Tahun 2024,2024,DOI: 10.23960/snip.v4i1.558,Accred : Unknown,
Pengembangan Green Corridor pada Koridor Rupit Kabupaten Musi Rawas Utara,Fakultas Teknik,Seminar Nasional Insinyur Profesional (SNIP) Vol. 4 No. 1 (2024): Prosiding SNIP Vol.4 No.1 Tahun 2024,2024,DOI: 10.23960/snip.v4i1.560,Accred : Unknown,
Pelaksanaan Pengawasan Limbah Bahan Berbahaya dan Beracun PT.X oleh Dinas Lingkungan Hidup Kota Bandar Lampung,Fakultas Teknik,Seminar Nasional Insinyur Profesional (SNIP) Vol. 4 No. 1 (2024): Prosiding SNIP Vol.4 No.1 Tahun 2024,2024,DOI: 10.23960/snip.v4i1.562,Accred : Unknown,
"Pengendalian Mutu dan Keberterimaan Produk PC-I Girder Fc' 61,2 Mpa, Bentang 45,8 m Pada Proyek Jalan Tol Kayu Agung - Palembang - Betung Tahap II",Fakultas Teknik,Seminar Nasional Insinyur Profesional (SNIP) Vol. 4 No. 1 (2024): Prosiding SNIP Vol.4 No.1 Tahun 2024,2024,DOI: 10.23960/snip.v4i1.572,Accred : Unknown,
REKONSTRUKSI RUNWAY 14-32 DI BANDAR UDARA RADIN INTEN II,Fakultas Teknik,Seminar Nasional Insinyur Profesional (SNIP) Vol. 4 No. 1 (2024): Prosiding SNIP Vol.4 No.1 Tahun 2024,2024,DOI: 10.23960/snip.v4i1.579,Accred : Unknown,
Identifikasi Ketidaksesuaian Penggunaan Lahan Pada Kawasan Sempadan Situ Terhadap Rencana Tata Ruang,Fakultas Teknik Universitas Lampung,Jurnal Profesi Insinyur Universitas Lampung Vol. 5 No. 1 (2024)22-29,2024,DOI: 10.23960/jpi.v5n1.121,Accred : Sinta 5,
Strategi Penataan Kawasan Pendidikan Kota Bandar Lampung di Sepanjang Koridor Ruas Jalan Zainal Abidin Pagar Alam dengan Pendekatan Analisis SWOT dan AHP,LPPM Institut Pendidikan Nusantara Global,"Jurnal Ilmiah Global Education Vol. 5 No. 2 (2024): JURNAL ILMIAH GLOBAL EDUCATION, Volume 5 Nomor 2, Juni 20241343-1354",2024,DOI: 10.55681/jige.v5i2.2705,Accred : Sinta 4,
Inovasi dan Kota Cerdas: menuju Ibu Kota Negara (IKN) yang berkelanjutan,Fakultas Teknik Universitas Lampung,Jurnal Profesi Insinyur Universitas Lampung Vol. 5 No. 2 (2024),2024,DOI: 10.23960/jpi.v5n2.134,Accred : Sinta 5,
"PENGARUH SUPLEMENTASI MINERAL MIKRO ORGANIK TERHADAP JUMLAH ERITROSIT, HEMOGLOBIN, DAN HEMATOKRIT KAMBING PERAH JAWARANDU","Department of Animal Husbandry, Faculty of Agriculture, University of Lampung",Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of Animals) Vol 8 No 1 (2024): Jurnal Riset dan Inovasi Peternakan: Februari 2024121-129,2024,DOI: 10.23960/jrip.2024.8.1.121-129,Accred : Unknown,
"GAMBARAN DARAH (SEL DARAH MERAH, HEMOGLOBIN, DAN PCV) PADA AYAM KAMPUNG ULU JANTAN DENGAN PEMBERIAN JINTAN HITAM (Nigella sativa) MELALUI PAKAN","Department of Animal Husbandry, Faculty of Agriculture, University of Lampung",Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of Animals) Vol 8 No 3 (2024): Jurnal Riset dan Inovasi Peternakan: Agustus 2024406-413,2024,DOI: 10.23960/jrip.2024.8.3.406-413,Accred : Unknown,
PENGARUH PEMBERIAN BAWANG PUTIH (Allium sativum) DAN DAUN KELOR (Moringa oleifera) TERHADAP TOTAL PROTEIN PLASMA DAN KADAR GLUKOSA DARAH AYAM KAMPUNG,"Department of Animal Husbandry, Faculty of Agriculture, University of Lampung",Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of Animals) Vol 8 No 3 (2024): Jurnal Riset dan Inovasi Peternakan: Agustus 2024427-435,2024,DOI: 10.23960/jrip.2024.8.3.427-435,Accred : Unknown,
PEMBERIAN EKSTRAK DAUN KELOR (Moringa oleifera) DAN BAWANG PUTIH (Allium sativum) TERHADAP TITER ANTIBODI AVIAN INFLUENZA (AI) DAN NEWCASTLE DISEASE (ND) PADA AYAM KAMPUNG,"Department of Animal Husbandry, Faculty of Agriculture, University of Lampung",Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of Animals) Vol 8 No 3 (2024): Jurnal Riset dan Inovasi Peternakan: Agustus 2024446-452,2024,DOI: 10.23960/jrip.2024.8.3.446-452,Accred : Unknown,
Pengaruh Suhu dan Tekanan terhadap Hasil Penggorengan Keripik Belimbing (Averrhoa carambola L.) Menggunakan Vacuum Frying,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 1 (2024): March 20241-12",2024,DOI: 10.23960/jabe.v3i1.8745,Accred : Unknown,
"Pemanfaatan Arang Kayu, Tempurung an Sabut Kelapa Sebagai Bahan Bakar Pengasapan Ikan Nila (Oreochromis niloticus) Menggunakan Alat Pengasap Ikan Tipe Drum",abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 1 (2024): March 202433-39",2024,DOI: 10.23960/jabe.v3i1.8747,Accred : Unknown,
Analisis Kebutuhan Air Irigasi dan Ketersediaan Sumber Daya Air Berbasis Sistem Informasi Geografis di Kecamatan Krui Selatan Kabupaten Pesisir Barat,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 1 (2024): March 2024148-158",2024,DOI: 10.23960/jabe.v3i1.8921,Accred : Unknown,
Analisis Potensi Sumber Daya Air Daerah Aliran Sungai (DAS) untuk Kebutuhan Irigasi Padi dan Palawija di Kecamatan Pesisir Tengah Kabupaten Pesisir Barat,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 2 (2024): June 2024159-171",2024,DOI: 10.23960/jabe.v3i2.9083,Accred : Unknown,
Uji Kinerja Alat Pencacah Rumput (Mini Chopper) Type TMB 01,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 1 (2024): March 2024123-132",2024,DOI: 10.23960/jabe.v3i1.8929,Accred : Unknown,
Pengaruh Suhu dan Tekanan terhadap Hasil Penggorengan Keripik Pisang Muli (Musa acuminata) Model Semprong Menggunakan Vacuum Frying,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 2 (2024): June 2024172-182",2024,DOI: 10.23960/jabe.v3i2.9085,Accred : Unknown,
Analisis Ketersediaan Air pada DAS Way Tembulih Untuk Kebutuhan Air Irigasi Berbasis Sistem Informasi Geografis di Kecamatan Ngaras Kabupaten Pesisir Barat,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 1 (2024): March 202499-112",2024,DOI: 10.23960/jabe.v3i1.8920,Accred : Unknown,
The effect of planting media composition and liquid fertilizer dosage on sand media on the growth of mustard plants (Brassica juncea L.),abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 1 (2024): March 202470-76",2024,DOI: 10.23960/jabe.v3i1.8869,Accred : Unknown,
APLIKASI NAA PADA SETEK SINGKONG (Manihot esculenta Crantz) MENINGKATKAN JUMLAH AKAR PRODUKTIF,"Departement of Agrotechnology, Agriculture Faculty, Universitas Lampung","Jurnal Agrotek Tropika Vol 12, No 4 (2024): JURNAL AGROTEK TROPIKA VOL 12, NOVEMBER 2024786 - 793",2024,DOI: 10.23960/jat.v12i4.8488,Accred : Sinta 2,
Identifikasi Sawah Irigasi Teknis Tidak Produktif di Kota Metro Berbasis Sistem Informasi Geografis dan Citra Landsat 8 OLI,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 3 (2024): September 2024359-365",2024,DOI: 10.23960/jabe.v3i3.9947,Accred : Unknown,
Identifikasi Zona Potensi Air Tanah Berbasis Sistem Informasi Geografis di Kabupaten Lampung Tengah,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 4 (2024): Desember 2024480-492",2024,DOI: 10.23960/jabe.v3i4.10174,Accred : Unknown,
Pengaruh Suhu dan Tekanan terhadap Hasil Penggorengan Keripik Ubi Cilembu (Ipomoea batatas) Menggunakan Vacuum Frying,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 3 (2024): September 2024351-358",2024,DOI: 10.23960/jabe.v3i3.9948,Accred : Unknown,
"Analisis Wilayah Kerawanan Bencana Tanah Longsor Menggunakan Citra Lansat 8 Oli dan Citra Sentinel 2-A di Kecamatan Balik Bukit, Kabupaten Lampung Barat",abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 4 (2024): Desember 2024515-526",2024,DOI: 10.23960/jabe.v3i4.10199,Accred : Unknown,
Pembuatan Ikan Lele (Clarias gariepinus) Asap Menggunakan Bahan Bakar Arang Kayu dan Sabut Kelapa pada Berbagai Konsentrasi,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 1 (2024): March 202477-86",2024,DOI: 10.23960/jabe.v3i1.8868,Accred : Unknown,
Rancang Bangun Sistem Kendali Suhu pada Reaktor Torefaksi Menggunakan Mikrokontroler,Fakultas Teknologi Pangan & Agroindustri (Fatepa) Universitas Mataram dan Perhimpunan Teknik Pertanian (PERTETA),Jurnal Ilmiah Rekayasa Pertanian dan Biosistem Vol 12 No 2 (2024): Jurnal Ilmiah Rekayasa Pertanian dan Biosistem272 - 283,2024,DOI: 10.29303/jrpb.v12i2.669,Accred : Sinta 2,
Kinerja Membran Mikrofiltrasi Untuk Menjadikan Air Olahan Instalasi Pengolahan Air Limbah Rumah Sakit Menjadi Air Bersih,Poltekkes Kemenkes Tanjung Karang,Jurnal Kesehatan Vol 15 No 1 (2024): Jurnal Kesehatan97-105,2024,DOI: 10.26630/jk.v15i1.4117,Accred : Sinta 3,
Time and Workload Analysis to Determine Total Labor in the Arabica Coffee Harvesting Process,Research and Social Study Institute,Applied Research in Science and Technology Vol. 4 No. 1 (2024): Applied Research in Science and Technology1-10,2024,DOI: 10.33292/areste.v4i1.50,Accred : Unknown,
Production response of chilli (Capsicum annuum L.) to shoot pruning and application of different mulch types,Research and Social Study Institute,Open Science and Technology Vol. 4 No. 1 (2024): Open Science and Technology36-43,2024,DOI: 10.33292/ost.vol4no1.2024.120,Accred : Sinta 5,
Pemanfaatan Limbah Serat Kelapa Sebagai Bahan Tambahan Pembuatan Paving Block,abe.fp.unila.ac.id,"Jurnal Agricultural Biosystem Engineering Vol 3, No 3 (2024): September 2024446-453",2024,DOI: 10.23960/jabe.v3i3.10161,Accred : Unknown,
"PERBANDINGAN SUPLEMENTASI MINERAL Ca ORGANIK DAN Mg ORGANIK DENGAN Ca SABUN DAN Mg SABUN DALAM RANSUM TERHADAP PERTAMBAHAN BOBOT TUBUH, KONSUMSI RANSUM, DAN EFISIENSI RANSUM PADA KAMBING RAMBON","Department of Animal Husbandry, Faculty of Agriculture, University of Lampung",Jurnal Riset dan Inovasi Peternakan (Journal of Research and Innovation of Animals) Vol 8 No 2 (2024): Jurnal Riset dan Inovasi Peternakan: Mei 2024232-240,2024,DOI: 10.23960/jrip.2024.8.2.232-240,Accred : Unknown,
"The Effect of Ratio Forage and Concentrate on The Dry Matter Consumption, Dry Matter and Organic Matter Digestibility in Etawa Crossbreed Dairy Goats","DEPARTMENT OF ANIMAL HUSBANDRY, FACULTY OF AGRICULTURE, UNIVERSITY OF LAMPUNG","JURNAL ILMIAH PETERNAKAN TERPADU Vol 12, No 3 (2024)379-389",2024,DOI: 10.23960/jipt.v12i3.p379-389,Accred : Sinta 3,
Analisa Menguatnya Politik Identitas pada Pemilihan Kepala Daerah Kabupaten Lampung Timur dan Kabupaten Pringsewu,P3M STISIPOL Dharma Wacana Metro,Wacana Publik Vol. 18 No. 2 (2024): Wacana Publik59-64,2024,DOI: 10.37295/wp.v18i2.70,Accred : Unknown,
Process and Criteria for Recruitment of Partai Keadilan Sejahtera Legislative Member Candidates for Lampung Province in the 2024 Election,CV. Rayyan Dwi Bharata,"QISTINA: Jurnal Multidisiplin Indonesia Vol 3, No 1 (2024): June 2024493-511",2024,DOI: 10.57235/qistina.v3i1.2272,Accred : Unknown,
Pendidikan Lingkungan di Daerah Wisata Pantai Banding: Kampanye âBawa Pulang Sampahmuâ sebagai Dukungan terhadap SDGs 13 Climate Action,Program Studi Hubungan Internasional FISIP UNILA,Ragom Jurnal Pengabdian Masyarakat Vol. 2 No. 2 (2024): Ragom: Jurnal Pengabdian Masyarakat1-9,2024,DOI: -,Accred : Unknown,
Aktivisme Digital Fandom Kpop NCTzen Sebagai Wujud Positif Interaksi Parasosial,Fakultas Ilmu Sosial UIN Sumatera Utara Medan,"Komunikologi: Jurnal Pengembangan Ilmu Komunikasi dan Sosial Vol 8, No 1 (2024)22-41",2024,DOI: 10.30829/komunikologi.v8i1.19233,Accred : Sinta 5,
From Chalk to Click: Elevating Information Technology Literacy Among Digital Immigrant Teachers in Bandar Lampung,CV. Literasi Indonesia,Indonesian Journal of Community Services Vol. 3 No. 1 (2024): May44-50,2024,DOI: 10.47540/ijcs.v3i1.1409,Accred : Unknown,
MENTORING TRAINING 'CONTINUE TO STUDY WITH SCHOLARSHIPS' IN SUPPORTING THE IMPROVEMENT OF THE COMPETITIVENESS OF THE PEOPLE OF LAMPUNG,Lembaga Pendidikan dan Penelitian Manggala Institute,"BESIRU : Jurnal Pengabdian Masyarakat Vol. 1 No. 9 (2024): BESIRU : Jurnal Pengabdian Masyarakat, September 2024726-733",2024,DOI: 10.62335/7mra3e96,Accred : Unknown,
Privacy Management in the Digital Era: Managing Instagram Close Friends Feature Among Lampung University Students,Universitas Islam Negeri Raden Intan Lampung,"KOMUNIKA Vol 7, No 2 (2024): Komunika",2024,DOI: 10.24042/komunika.v7i2.23385,Accred : Unknown,
Actualization of Fisip Unilaâs Partnership with Atpusi Lampung Province Through Personal Rebranding Training for Librarians in the Era of Artificial Intelligence,Institute of Multidisciplinary Research and Community Service,"Bulletin of Social Studies and Community Development Vol 3, No 1 (2024): Bulletin of Social Science and Community Development08-18",2024,DOI: 10.61436/bsscd/v3i1.pp08-18,Accred : Unknown,
Hospital quality classification based on quality indicator data during the COVID-19 pandemic,Institute of Advanced Engineering and Science,"International Journal of Electrical and Computer Engineering (IJECE) Vol 14, No 4: August 20244365-4375",2024,DOI: 10.11591/ijece.v14i4.pp4365-4375,Accred : Unknown,
"Fostering Sustainable Digital Leadership in Educational Organization, Systematic Literature Review using NVIVO and PRISMA",Dinasti Publisher,"Dinasti International Journal of Economics, Finance & Accounting Vol. 5 No. 3 (2024): Dinasti International Journal of Economics, Finance & Accounting (July - August1204-1223",2024,DOI: 10.38035/dijefa.v5i3.2853,Accred : Sinta 3,
Signature Originality Verification Using A Deep Learning Approach,SAINTIS Publishing,"Electronic Journal of Education, Social Economics and Technology Vol 5, No 1 (2024)19-29",2024,DOI: 10.33122/ejeset.v5i1.310,Accred : Sinta 3,
LSTM-Based NLP Approach for Spelling Error Detection and Correction in Scientific Writing Indonesian Language,SAINTIS Publishing,"Electronic Journal of Education, Social Economics and Technology Vol 5, No 1 (2024)30-39",2024,DOI: 10.33122/ejeset.v5i1.309,Accred : Sinta 3,
PERTUMBUHAN SPATIFILUM (Spathiphyllum wallisii) AKIBAT PERBEDAAN DOSIS PUPUK NPK DAN PEMBERIAN PAKLOBUTRAZOL,"Departement of Agrotechnology, Agriculture Faculty, Universitas Lampung","Jurnal Agrotek Tropika Vol 12, No 2 (2024): JURNAL AGROTEK TROPIKA VOL 12, Mei 2024477 - 486",2024,DOI: 10.23960/jat.v12i2.9136,Accred : Sinta 2,
"PELATIHAN PENGGUNAAN MICROSOFT WORD UNTUK GURU SEKOLAH DASAR DI SDN MARGOREJO, KEC. JATI AGUNG, KABUPATEN LAMPUNG SELATAN",FMIPA Unila,Laporan Upaya Nyata Inovasi Ilmu Komputer Vol. 2 No. 01 (2024)41-47,2024,DOI: 10.23960/lunik.v2i01.23,Accred : Unknown,
LSTM-CNN Hybrid Model Performance Improvement with BioWordVec for Biomedical Report Big Data Classification,"Research Center of Inorganic Materials and Coordination Complexes, FMIPA Universitas Sriwijaya",Science and Technology Indonesia Vol. 9 No. 2 (2024): April273-283,2024,DOI: 10.26554/sti.2024.9.2.273-283,Accred : Sinta 1,
Comparative analysis of deep Siamese models for medical reports text similarity,Institute of Advanced Engineering and Science,"International Journal of Electrical and Computer Engineering (IJECE) Vol 14, No 6: December 20246969-6980",2024,DOI: 10.11591/ijece.v14i6.pp6969-6980,Accred : Unknown,
1D and 2D Feature Extraction Based on AAC and DC Protein Descriptors for Classification of Acetylation in Lysine Proteins using Convolutional Neural Network,"Department of Electromedical Engineering, POLTEKKES KEMENKES SURABAYA","Journal of Electronics, Electromedical Engineering, and Medical Informatics Vol 6 No 4 (2024): October405-414",2024,DOI: 10.35882/jeeemi.v6i4.458,Accred : Sinta 2,
"THE DEVELOPMENT DYNAMIC OF HIV/AIDS IN LAMPUNG USING NONLINEAR DIFFERENTIAL EQUATION MODEL OF SIR (SUSCEPTIBLE, INFECTIOUS, AND RECOVERED)",Bajang Institute,Journal of Innovation Research and Knowledge Vol. 3 No. 11: April 20242223-2230,2024,DOI: -,Accred : Sinta 5,
Efektivitas Dan Efisiensi Penggunaan Aplikasi Sobat BPS Dalam Melakukan Rekrutmen Dan Seleksi Calon Mitra BPS Di Badan Pusat Statistik Kota Palu,Asosiasi Riset Teknik Elektro dan Informatika Indonesia,Bumi : Jurnal Hasil Kegiatan Sosialisasi Pengabdian kepada Masyarakat Vol. 2 No. 1 (2024): Bumi: Jurnal Hasil Kegiatan Sosialisasi Pengabdian kepada Masyarakat78-89,2024,DOI: 10.61132/bumi.v2i1.44,Accred : Unknown,
PELATIHAN STATISTIKA DESKRIPTIF UNTUK DATA ADMINISTRATIF DI KECAMATAN TELUK BETUNG BARAT KOTA BANDAR LAMPUNG,Badan Pelaksana Kuliah Kerja Nyata Universitas Lampung,BUGUH: JURNAL PENGABDIAN KEPADA MASYARAKAT Vol. 4 No. 1 (2024): Maret 202443-47,2024,DOI: 10.23960/buguh.v4n1.2299,Accred : Unknown,
Review of Obstruction of Justice Perpetrators in Premeditated Murder Cases,CV. Publikasi Indonesia,Jurnal Indonesia Sosial Sains Vol. 5 No. 03 (2024): Jurnal Indonesia Sosial Sains483=498,2024,DOI: 10.59141/jiss.v5i03.1041,Accred : Sinta 5,
Kekerasan Terhadap Asisten Rumah Tangga Dalam Prespektif Krimilogis : Studi Polresta Kota Bandar Lampung,Asosiasi Peneliti dan Pengajar Ilmu Hukum Indonesia,"Amandemen: Jurnal Ilmu pertahanan, Politik dan Hukum Indonesia Vol. 1 No. 2 (2024): April : Amandemen: Jurnal Ilmu pertahanan, Politik dan Hukum Indonesia35-46",2024,DOI: 10.62383/amandemen.v1i2.128,Accred : Unknown,
Upaya Kepolisian Resor Lampung Utara Dalam Penanggulangan Pencurian Sepeda Motor,Asosiasi Peneliti dan Pengajar Ilmu Hukum Indonesia,"Amandemen: Jurnal Ilmu pertahanan, Politik dan Hukum Indonesia Vol. 1 No. 2 (2024): April : Amandemen: Jurnal Ilmu pertahanan, Politik dan Hukum Indonesia196-205",2024,DOI: 10.62383/amandemen.v1i2.158,Accred : Unknown,
Penegakan Hukum dalam Penanggulangan Kejahatan Pertambahan Pasir Ilegal,Asosiasi Peneliti dan Pengajar Ilmu Hukum Indonesia,"Aktivisme: Jurnal Ilmu Pendidikan, Politik dan Sosial Indonesia Vol. 1 No. 4 (2024): Oktober: Aktivisme : Jurnal Ilmu Pendidikan, Politik dan Sosial Indonesia23-36",2024,DOI: 10.62383/aktivisme.v1i4.463,Accred : Unknown,
Kajian Kriminologi Terhadap Kejahatan Penyerobotan Tanah Di Wilayah Tulang Bawang,Asosiasi Peneliti dan Pengajar Ilmu Hukum Indonesia,"Demokrasi: Jurnal Riset Ilmu Hukum, Sosial dan Politik Vol. 1 No. 2 (2024): April : Demokrasi: Jurnal Riset Ilmu Hukum, Sosial dan Politik118-126",2024,DOI: 10.62383/demokrasi.v1i2.153,Accred : Unknown,
Analisis Dasar Pertimbangan Hakim Praperadilan pada Perkara Penetapan Tersangka Tindak Pidana Korupsi Dana Desa: Studi Putusan Nomor 4/Pid.Pra/2022/PN.Kla,Asosiasi Peneliti dan Pengajar Ilmu Hukum Indonesia,"Demokrasi: Jurnal Riset Ilmu Hukum, Sosial dan Politik Vol. 1 No. 2 (2024): April : Demokrasi: Jurnal Riset Ilmu Hukum, Sosial dan Politik185-192",2024,DOI: 10.62383/demokrasi.v1i2.185,Accred : Unknown,
Upaya Penanggulangan Hukum Pembunuhan Yang Dilakukan Anak Terhadap Keluarga,Asosiasi Peneliti dan Pengajar Ilmu Hukum Indonesia,"Aliansi: Jurnal Hukum, Pendidikan dan Sosial Humaniora Vol. 1 No. 2 (2024): March: Aliansi: Jurnal Hukum, Pendidikan dan Sosial Humaniora182-199",2024,DOI: 10.62383/aliansi.v1i2.103,Accred : Unknown,
Pertanggungjawaban Hukum Terhadap Pelaku Promotor Perjudian Online,Asosiasi Peneliti dan Pengajar Ilmu Hukum Indonesia,"Aliansi: Jurnal Hukum, Pendidikan dan Sosial Humaniora Vol. 1 No. 5 (2024): September: Aliansi: Jurnal Hukum, Pendidikan dan Sosial Humaniora345-363",2024,DOI: 10.62383/aliansi.v1i5.448,Accred : Unknown,
Pengaruh Bermain Puzzle Geometric terhadap Kecerdasan Visual Spasial Anak Usia 5-6 Tahun,STKIP Muhammadiyah Kuningan,Jurnal Pelita PAUD Vol 8 No 2 (2024): Jurnal Pelita PAUD390-399,2024,DOI: 10.33222/pelitapaud.v8i2.3788,Accred : Unknown,
PENGARUH KEPEMIMPINAN TRANSFORMASIONAL DAN BUDAYA ORGANISASI TERHADAP KINERJA GURU,Program Studi Pendidikan Agama Islam Fakultas Ilmu Tarbiyah dan Keguruan UNSIQ Jawa Tengah,PARAMUROBI: JURNAL PENDIDIKAN AGAMA ISLAM Vol 7 No 1 (2024): PARAMUROBI: JURNAL PENDIDIKAN AGAMA ISLAM164-177,2024,DOI: 10.32699/paramurobi.v7i1.6728,Accred : Unknown,
THE EFFECTS OF ACADEMIC SUPERVISION BY PRINCIPAL AND WORK MOTIVATION ON TEACHERSâ PROFESSIONALISM,Universitas Islam Negeri Maulana Malik Ibrahim Malang,"Abjadia : International Journal of Education Vol 9, No 1 (2024): Abjadia86 - 95",2024,DOI: 10.18860/abj.v9i1.24592,Accred : Sinta 3,
